SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X


landsat8_oli;1;442.958500;sentinel3_olci;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;400.0, 412.5, 442.5, 490.0, 510.0, 560.0, 620.0, 665.0, 673.75, 681.25, 708.75, 753.75, 761.25, 764.375, 767.5, 778.75, 865.0, 885.0, 900.0, 940.0, 1020.0;-1.26377308532e-05, -0.0158405907233, 0.029761441967, 0.980016094425, 0.00371887129833, 0.00256865689474, 0.000228261010958, -0.0009059402677, 0.00417111510689, -0.00713703255793, 0.00325953838236, 0.000143540177211, 6.71503812377e-05, -0.00289092811129, 0.00493450069536, -0.00804353456693, 0.00470405169588, 0.0189414797649, -0.0199065840556, 0.00122074517647, -0.000136294006771, 0.00111462406477;-2449.578048;0.000000
landsat8_oli;1;442.958500;sentinel2;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;443.929444843, 496.541069687, 560.006374949, 664.4491622, 703.886978943, 740.223452517, 782.473511978, 835.110186795, 864.80125832, 945.027529483, 1373.46188255;-6.64926147657e-05, 1.02251899654, -0.0266664738651, 0.00453059520838, -0.000650673286536, 0.000441456279428, -0.00213893861365, 0.00469636082547, -0.0088334523131, 0.00481060463916, 0.000790378728377, 0.000238057913629;-2187.897490;0.000000
landsat8_oli;1;442.958500;sentinel3_slstr;0, 1, 2, 3, 4, 5;555.0, 659.0, 865.0, 1375.0, 1610.0, 2250.0;0.00735076799657, 0.770627592488, -0.0661046530278, -0.0671910957447, 0.0085252889179, -0.175589093838, 0.239792636562;-801.643501;0.000111
landsat8_oli;1;442.958500;aqua;2, 3, 0, 1, 4;466.07150204, 553.917076647, 645.8403499, 856.877853417, 1241.49758039;-0.00163001684943, 1.03589400874, -0.0920524542522, -0.0158693772357, 0.00233981653169, 0.0135334401575;-1123.805510;0.000009
landsat8_oli;1;442.958500;landsat5_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;-0.00108004169336, 0.979321856388, -0.095194888739, -0.0339386529196, 0.0105740211202, -0.0332585603175, 0.065002043353;-1014.340339;0.000020
landsat8_oli;1;442.958500;landsat5_mss;0, 1, 2;550.0, 650.0, 750.0;0.006242308784, 1.04479019352, -0.226304562339, -0.0934434853618;-836.582072;0.000088
landsat8_oli;1;442.958500;terra;2, 3, 0, 1, 4;465.742398799, 553.736229817, 646.295673296, 856.47984028, 1242.16286011;-0.00163679354056, 1.03634971491, -0.091623552732, -0.0157340138984, 0.00228330650797, 0.0135124250413;-1127.236449;0.000008
landsat8_oli;1;442.958500;vgt;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;-0.00103835156794, 0.975927574603, -0.033099618657, 0.000199351745108, 0.00985940369893;-1200.373303;0.000005
